Dataset_Name,Organization_Name,Observer_Name,Island_Name,Location_Name,Site_Name,Depth_ft,Depth_m,DepthBin_5m,Longitude_DD,Latitude_DD,ObservationDate,AreaSurveyed_m2,PercentLiveCoralCover,PctCoralUnbleached,PctCoralPartialBleached,PctCoralFullyBleached,PctAffected,UploadDate,InstitutionDataOwner,SupplierOfDataset,OwnerOfRecordForDataset,DataAuthors,DataManager,Method_Type,RasterAddress_1km,Longitude_RAS_1km,Latitude_RAS_1km,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151103101_LAN,29.47178572,10.48300029,"(10,15]",-156.8405412,20.87505837,2015/11/03,2603.4,92.5,74,20,6,26,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,15868,-156.8430144,20.87757805,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151103102_LAN,25.99425155,9.423047872,"(5,10]",-156.838938,20.87314579,2015/11/03,2778.6,92.5,67,20,13,33,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,15868,-156.8430144,20.87757805,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151103103_LAN,28.99323047,10.33713665,"(10,15]",-156.8370376,20.87155338,2015/11/03,2566,92.5,78.5,17.5,4,21.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16104,-156.8340004,20.86855284,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151103104_LAN,25.82708494,9.37209549,"(5,10]",-156.8353115,20.86981889,2015/11/03,2796.6,92.5,70,22.5,7.5,30,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16104,-156.8340004,20.86855284,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151103105_LAN,22.78576188,8.445100221,"(5,10]",-156.8336751,20.86789616,2015/11/03,2664.9,92.5,62.5,30,7.5,37.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16104,-156.8340004,20.86855284,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151103106_LAN,22.86382861,8.46889496,"(5,10]",-156.8319007,20.86619522,2015/11/03,2730.9,92.5,55,32.5,12.5,45,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16104,-156.8340004,20.86855284,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151103107_LAN,20.12329115,7.633579143,"(5,10]",-156.8302665,20.86422004,2015/11/03,2784.2,82.5,52.5,35,12.5,47.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16104,-156.8340004,20.86855284,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151103108_LAN,17.33814579,6.784666837,"(5,10]",-156.8287243,20.8622813,2015/11/03,2783.4,77.5,42.5,42.5,15,57.5,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16340,-156.8249864,20.85952763,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151103109_LAN,9.583160963,4.420947462,"[0,5]",-156.8276121,20.85995604,2015/11/03,2809.3,67.5,40,40,20,60,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16340,-156.8249864,20.85952763,,,,,,,
NOAA_MHI_2015,NOAA-CREP,CREP-TOW,Lanai,,20151103110_LAN,10.74578705,4.775315893,"[0,5]",-156.8260955,20.85806608,2015/11/03,2532,60,30,42.5,27.5,70,10/5/2016,NOAA-CREP,NOAA CREP,NOAA CREP,"Noah Pomeroy, Thomas Oliver",Troy Kanemura,Towboard Survey,16340,-156.8249864,20.85952763,,,,,,,
