Island_Name,ZoneName,Cluster_DepthBin_ID,Depth_ft_mn,Longitude_DD_mn,Latitude_DD_mn,CoralBleached_Perc_mn,SiteSuscp_mn,DHW.MeanMax.YR01_mn,DHW.MeanMax.YR10YR01_mn,SST_Variability_AllB4_mn,PAR_surface_mn,kdPAR_mn,TotalEffluent_mn,WaveAction_value_mn,AgGolf_runoff_mn,Urban_runoff_mn,TourRec_10yrAvgPUD_mn,PctBleached_hist_mn,Obs_Year,Weights_DriversAndSpatialAnalysis,Weights_TemporalAnalysis
Hawaii,Hawaii_NW,1 Mid,36,-155.95153,19.501275,46.5,2.833333333,5.565000038,11.90666676,2.66594338,44.03557826,0.125599995,1252.921343,6126.400269,0.408965666,0.294574107,6.449999809,53.47187889,2019,1,1
Oahu,Oahu_E,10 Shallow,6.5,-157.7983633,21.4407,23.66666667,2.616666667,0.289999992,2.639999986,2.496415084,NA,NA,1643.106846,NA,0.081035084,0.184395952,24.5,42.05739972,2019,0.118044617,0.072903764
Kauai,Kauai_S,100 Shallow,15.5,-159.4727639,21.87820602,1.366666667,NA,2.200000048,3.476666749,2.730566025,45.12350082,0.076866664,21546.83721,6433.6,0.265306276,0.120005076,151.8151277,NA,2019,0.095610196,
Oahu,Oahu_W,102 Shallow,13.6,-158.12565,21.335406,37,NA,0,2.209999919,2.56094346,46.38333384,0.057923332,1489.253507,41993,0.068763088,0.195140483,224,NA,2019,0.02327796,
Kauai,Kauai_S,103 Shallow,10,-159.4881419,21.88493,4.6,NA,2.200000048,3.476666749,2.730566025,45.12350082,0.081536539,6815.150458,6442,0.277434263,0.122284071,94.45148681,NA,2019,0.123537496,
Oahu,Oahu_W,104 Shallow,8.6,-158.2105,21.4605015,12.3,NA,0,1.859999999,2.525660317,43.93175125,0.066112655,14710.87041,41429.075,0.101833931,0.069410611,28.62970352,NA,2019,0.041047327,
Lanai,Lanai_S,105 Shallow,16,-156.867163,20.749795,17,2.444444444,6.739999771,7.329999924,2.686981165,48.97933324,0.062105883,0,6424,0.019769967,0.014497205,12.59999943,38.63809524,2019,0.033604988,
Lanai,Lanai_NE,106 Mid,31.5,-156.814085,20.84437,10,2.985983103,9.039999962,7.820000172,2.663962238,47.57037544,0.062314076,0,6779.875,0.010133816,0.007453362,0.800000012,23.619375,2019,0.231494791,0.142970024
Lanai,Lanai_S,107 Mid,44,-156.9132492,20.735723,10,2.21875,4.96999979,7.449999809,2.700377338,49.16801072,0.062105883,0,6442,0.047293152,0.030134295,6.593856064,38.63809524,2019,0.231494791,0.142970024
Lanai,Lanai_NE,108 Mid,38,-156.82037,20.85438,9,2.571428571,9.25,8.06000042,2.657358529,47.57037544,0.062661136,0,8194,0.008844109,0.00650479,0.800000012,23.619375,2019,0.033604988,0.028187795
Lanai,Lanai_NE,109 Mid,46,-156.82787,20.8636,12,3.08045977,9.25,8.06000042,2.657358529,46.77112579,0.062661136,0,8960.5,0.008676891,0.006381802,0.600000024,23.619375,2019,0.033604988,0.028187795
Oahu,Oahu_E,11 Shallow,5.4,-157.796809,21.45050905,9.80952381,2.785,0.289999992,2.455714192,2.496415053,NA,0.232024997,484.3098322,NA,0.021739848,0.049522597,19.24285784,42.05739972,2019,0.054904772,0.033908912
Lanai,Lanai_NE,111 Mid,21,-156.80292,20.82137,40,3.770491803,9.039999962,7.820000172,2.663962238,48.30825043,0.051094119,0,9672.25,0.010754438,0.008265512,1.399999976,23.619375,2019,0.033604988,0.028187795
Lanai,Lanai_S,112 Mid,32,-156.8504,20.75613,9,2.113207547,7.460000038,7.53000021,2.673056628,48.8736248,0.058914706,0,6424,0,0.003175851,3.299999952,38.63809524,2019,0.033604988,0.028187795
Lanai,Lanai_S,112 Shallow,15,-156.84248,20.756445,23,2.476190476,8.539999962,7.440000057,2.665849038,48.77925014,0.055352941,0,6424,0,0.003164701,2.600000143,38.63809524,2019,0.033604988,
Lanai,Lanai_S,113 Shallow,15,-156.924733,20.735083,29,2.588235294,4.96999979,7.449999809,2.700377338,49.23158391,0.061772549,0,6442,0.048793888,0.031090536,3.799999952,38.63809524,2019,0.033604988,
Oahu,Oahu_E,114 Shallow,7.5,-157.713,21.390874,28.46666667,NA,0.879999995,2.945000052,2.517169772,46.30009334,0.076258822,318.0016868,NA,0.104572871,0.420191251,193.6000061,42.05739972,2019,0.030022777,0.018541917
Hawaii,Hawaii_E,115 Mid,37.3,-155.0174893,19.73540857,0.518796993,2.050816881,0,6.039999962,2.482897612,NA,NA,2111.775299,50840.04115,0.157774921,0.62674216,21.49999919,NA,2019,0.145701884,
Hawaii,Hawaii_E,115 Shallow,15,-155.01773,19.734585,0,2.070857283,0,6.039999962,2.4812579,NA,NA,2125.131473,50498.25195,0.159181265,0.631444542,21.58333238,NA,2019,1,
Lanai,Lanai_S,116 Mid,21.6,-156.9586389,20.73217213,10.375,2.919556286,4.460000038,3.900000051,2.72396228,49.23323512,0.060188234,0,6442,0.048458938,0.030877112,4.300000191,38.63809524,2019,0.080439168,0.049678828
Lanai,Lanai_S,116 Shallow,16,-156.9569964,20.73288325,16.66666667,3.309320473,4.460000038,3.900000051,2.72396228,49.23764445,0.060188234,0,6442,0.048568431,0.030946878,4.1956301,38.63809524,2019,0.064895973,
Oahu,Oahu_W,117 Shallow,11.6,-158.1902857,21.43969476,5.571428571,NA,0,1.825000014,2.560754668,43.66993904,0.104625002,10867.8028,19854.2619,0.02397323,0.149924367,23.26103102,NA,2019,0.072872513,
