,Island,Depth_ft,Taxon,Bleached,SST_average
0,Hawaii,25.0,AGEM,90.0,2.631593099478873
1,Hawaii,40.0,PCOM,90.0,2.631593099478873
2,Hawaii,42.0,PLOB,30.0,2.631593099478873
3,Hawaii,35.0,PLOB,0.0,2.631593099478873
4,Hawaii,42.0,PCOM,0.0,2.631593099478873
5,Hawaii,16.0,PCOM,2.0,2.631593099478873
6,Hawaii,45.0,PLOB,10.0,2.631593099478873
7,Hawaii,42.0,PCOM,50.0,2.631593099478873
8,Hawaii,42.0,PLOB,30.0,2.631593099478873
9,Hawaii,32.0,PCOM,80.0,2.631593099478873
10,Hawaii,40.0,PCOM,50.0,2.631593099478873
11,Hawaii,34.0,PLOB,10.0,2.631593099478873
12,Hawaii,37.0,PCOM,40.0,2.631593099478873
13,Hawaii,27.0,PLOB,20.0,2.631593099478873
14,Hawaii,47.0,PCOM,50.0,2.631593099478873
15,Hawaii,40.0,PCOM,40.0,2.631593099478873
16,Hawaii,46.0,PCOM,80.0,2.631593099478873
17,Hawaii,31.0,PCOM,50.0,2.631593099478873
18,Hawaii,8.0,PLOB,5.0,2.631593099478873
19,Hawaii,12.0,PLOB,5.0,2.631593099478873
20,Hawaii,28.0,PCOM,50.0,2.631593099478873
21,Hawaii,20.0,PCOM,50.0,2.631593099478873
22,Hawaii,11.0,PLOB,2.0,2.631593099478873
23,Hawaii,16.0,PLOB,5.0,2.631593099478873
24,Hawaii,14.0,PLOB,20.0,2.631593099478873
25,Hawaii,10.0,PLOB,5.0,2.631593099478873
26,Hawaii,46.0,PLOB,50.0,2.631593099478873
1588,Hawaii,15.0,PLOB,5.0,2.631593099478873
1589,Hawaii,10.0,PLOB,5.0,2.631593099478873
1590,Hawaii,8.0,PLUT,75.0,2.631593099478873
1591,Hawaii,20.0,PLOB,10.0,2.631593099478873
1592,Hawaii,13.0,PLOB,1.0,2.631593099478873
1593,Hawaii,10.0,PLOB,1.0,2.631593099478873
1594,Hawaii,5.0,PLOB,3.0,2.631593099478873
1595,Lanai,16.0,PLOB,0.0,2.685823911
1596,Lanai,67.0,PCOM,0.0,2.685823911
