Island,Depth_ft,Taxon,Bleached,SST_average_x,SST_average_y,SST_average
Hawaii,25,AGEM,90,2.631593099,2.631593099,2.631593099
Hawaii,40,PCOM,90,2.631593099,2.631593099,2.631593099
Hawaii,42,PLOB,30,2.631593099,2.631593099,2.631593099
Hawaii,35,PLOB,0,2.631593099,2.631593099,2.631593099
Hawaii,42,PCOM,0,2.631593099,2.631593099,2.631593099
Hawaii,16,PCOM,2,2.631593099,2.631593099,2.631593099
Hawaii,45,PLOB,10,2.631593099,2.631593099,2.631593099
Hawaii,42,PCOM,50,2.631593099,2.631593099,2.631593099
Hawaii,42,PLOB,30,2.631593099,2.631593099,2.631593099
Hawaii,32,PCOM,80,2.631593099,2.631593099,2.631593099
Hawaii,40,PCOM,50,2.631593099,2.631593099,2.631593099
Hawaii,34,PLOB,10,2.631593099,2.631593099,2.631593099
Hawaii,37,PCOM,40,2.631593099,2.631593099,2.631593099
Hawaii,27,PLOB,20,2.631593099,2.631593099,2.631593099
Hawaii,47,PCOM,50,2.631593099,2.631593099,2.631593099
Hawaii,40,PCOM,40,2.631593099,2.631593099,2.631593099
Hawaii,46,PCOM,80,2.631593099,2.631593099,2.631593099
Hawaii,31,PCOM,50,2.631593099,2.631593099,2.631593099
Hawaii,8,PLOB,5,2.631593099,2.631593099,2.631593099
Hawaii,12,PLOB,5,2.631593099,2.631593099,2.631593099
Hawaii,28,PCOM,50,2.631593099,2.631593099,2.631593099
Hawaii,20,PCOM,50,2.631593099,2.631593099,2.631593099
Hawaii,11,PLOB,2,2.631593099,2.631593099,2.631593099
Hawaii,16,PLOB,5,2.631593099,2.631593099,2.631593099
Hawaii,14,PLOB,20,2.631593099,2.631593099,2.631593099
Hawaii,10,PLOB,5,2.631593099,2.631593099,2.631593099
Hawaii,46,PLOB,50,2.631593099,2.631593099,2.631593099
Hawaii,15,PLOB,5,2.631593099,2.631593099,2.631593099
Hawaii,10,PLOB,5,2.631593099,2.631593099,2.631593099
Hawaii,8,PLUT,75,2.631593099,2.631593099,2.631593099
Hawaii,20,PLOB,10,2.631593099,2.631593099,2.631593099
Hawaii,13,PLOB,1,2.631593099,2.631593099,2.631593099
Hawaii,10,PLOB,1,2.631593099,2.631593099,2.631593099
Hawaii,5,PLOB,3,2.631593099,2.631593099,2.631593099
Lanai,16,PLOB,0,2.685823911,2.685823911,2.685823911
Lanai,67,PCOM,0,2.685823911,2.685823911,2.685823911
Lanai,61,PCOM,0,2.685823911,2.685823911,2.685823911
Lanai,38,PLOB,5,2.685823911,2.685823911,2.685823911
Lanai,28,MCAP,15,2.685823911,2.685823911,2.685823911
Lanai,38,PCOM,0,2.685823911,2.685823911,2.685823911
Lanai,47,PCOM,3,2.685823911,2.685823911,2.685823911
Lanai,46,MCAP,15,2.685823911,2.685823911,2.685823911
Lanai,15,MCAP,80,2.685823911,2.685823911,2.685823911
Lanai,4,MCAP,85,2.685823911,2.685823911,2.685823911
Lanai,21,MCAP,50,2.685823911,2.685823911,2.685823911
Lanai,35,PCOM,0,2.685823911,2.685823911,2.685823911
Lanai,15,PMEA,85,2.685823911,2.685823911,2.685823911
Lanai,15,PMEA,90,2.685823911,2.685823911,2.685823911
Lanai,32,PCOM,0,2.685823911,2.685823911,2.685823911
Lanai,50,PCOM,2,2.685823911,2.685823911,2.685823911
Maui,52,PCOM,5,2.600486142,2.600486142,2.600486142
Maui,57,PLOB,5,2.600486142,2.600486142,2.600486142
Maui,39,PLOB,0,2.600486142,2.600486142,2.600486142
Maui,43,MCAP,95,2.600486142,2.600486142,2.600486142
Maui,53,MCAP,85,2.600486142,2.600486142,2.600486142
Maui,27,MCAP,80,2.600486142,2.600486142,2.600486142
Maui,18,PLOB,10,2.600486142,2.600486142,2.600486142
Maui,16,PLOB,2,2.600486142,2.600486142,2.600486142
Maui,13,PLOB,1,2.600486142,2.600486142,2.600486142
Maui,64,MCAP,75,2.600486142,2.600486142,2.600486142
Maui,21,PLOB,40,2.600486142,2.600486142,2.600486142
Maui,23,PCOM,30,2.600486142,2.600486142,2.600486142
Maui,32,PLOB,80,2.600486142,2.600486142,2.600486142
Maui,32,PCOM,5,2.600486142,2.600486142,2.600486142
Maui,13,MFLA,10,2.600486142,2.600486142,2.600486142
Maui,21,PMEA,90,2.600486142,2.600486142,2.600486142
Maui,8,MCAP,75,2.600486142,2.600486142,2.600486142
Maui,12,PLOB,0,2.600486142,2.600486142,2.600486142
Maui,15,PLOB,5,2.600486142,2.600486142,2.600486142
Maui,12,MPAT,5,2.600486142,2.600486142,2.600486142
Maui,9,MPAT,5,2.600486142,2.600486142,2.600486142
Maui,9,PLOB,0,2.600486142,2.600486142,2.600486142
Maui,9,PLOB,1,2.600486142,2.600486142,2.600486142
Maui,16,PMEA,75,2.600486142,2.600486142,2.600486142
Maui,8,PLOB,0,2.600486142,2.600486142,2.600486142
Maui,7,PLOB,10,2.600486142,2.600486142,2.600486142
Maui,14,PLOB,10,2.600486142,2.600486142,2.600486142
Maui,10,PLOB,5,2.600486142,2.600486142,2.600486142
Maui,11,MCAP,90,2.600486142,2.600486142,2.600486142
Maui,11,PLOB,10,2.600486142,2.600486142,2.600486142
Maui,11,MDIL,70,2.600486142,2.600486142,2.600486142
Maui,11,PLOB,10,2.600486142,2.600486142,2.600486142
Maui,7,PLOB,5,2.600486142,2.600486142,2.600486142
Maui,15,PLOB,10,2.600486142,2.600486142,2.600486142
Maui,10,PLOB,5,2.600486142,2.600486142,2.600486142
Maui,18,PLOB,15,2.600486142,2.600486142,2.600486142
Maui,49,PLOB,10,2.600486142,2.600486142,2.600486142
Maui,36,PCOM,5,2.600486142,2.600486142,2.600486142
Maui,45,MCAP,75,2.600486142,2.600486142,2.600486142
Maui,61,MCAP,40,2.600486142,2.600486142,2.600486142
Maui,28,MCAP,50,2.600486142,2.600486142,2.600486142
Maui,44,PLOB,5,2.600486142,2.600486142,2.600486142
Maui,38,PLOB,15,2.600486142,2.600486142,2.600486142
Maui,36,PCOM,10,2.600486142,2.600486142,2.600486142
Maui,33,PLOB,15,2.600486142,2.600486142,2.600486142
Maui,28,PLOB,30,2.600486142,2.600486142,2.600486142
Maui,48,PLOB,50,2.600486142,2.600486142,2.600486142
Maui,10,PLOB,30,2.600486142,2.600486142,2.600486142
Maui,33,MCAP,90,2.600486142,2.600486142,2.600486142
Maui,33,MCAP,90,2.600486142,2.600486142,2.600486142
Maui,33,MCAP,90,2.600486142,2.600486142,2.600486142
Oahu,45,PLOB,10,2.525766534,2.525766534,2.525766534
Oahu,42,PLOB,0,2.525766534,2.525766534,2.525766534
Oahu,40,PLOB,10,2.525766534,2.525766534,2.525766534
Oahu,88,PLOB,60,2.525766534,2.525766534,2.525766534
Oahu,71,PMEA,40,2.525766534,2.525766534,2.525766534
Oahu,86,MCAP,50,2.525766534,2.525766534,2.525766534
Oahu,88,PMEA,1,2.525766534,2.525766534,2.525766534
Oahu,52,PLOB,40,2.525766534,2.525766534,2.525766534
Oahu,34,MPAT,5,2.525766534,2.525766534,2.525766534
Oahu,29,PMEA,20,2.525766534,2.525766534,2.525766534
Oahu,51,PLUT,10,2.525766534,2.525766534,2.525766534
Oahu,18,PMEA,95,2.525766534,2.525766534,2.525766534
Oahu,14,MCAP,100,2.525766534,2.525766534,2.525766534
Oahu,19,MPAT,5,2.525766534,2.525766534,2.525766534
Oahu,9,MPAT,90,2.525766534,2.525766534,2.525766534
Oahu,89,PLUT,0,2.525766534,2.525766534,2.525766534
Oahu,75,PMEA,0,2.525766534,2.525766534,2.525766534
Oahu,64,MCAP,80,2.525766534,2.525766534,2.525766534
Oahu,67,MCAP,50,2.525766534,2.525766534,2.525766534
Oahu,36,PLUT,20,2.525766534,2.525766534,2.525766534
Oahu,22,PLOB,20,2.525766534,2.525766534,2.525766534
Oahu,35,PLOB,0,2.525766534,2.525766534,2.525766534
Oahu,41,PLOB,0,2.525766534,2.525766534,2.525766534
Oahu,32,PLIC,0,2.525766534,2.525766534,2.525766534
Oahu,44,PLOB,0,2.525766534,2.525766534,2.525766534
Oahu,26,PLUT,75,2.525766534,2.525766534,2.525766534
Oahu,16,PLOB,10,2.525766534,2.525766534,2.525766534
Oahu,15,PLOB,15,2.525766534,2.525766534,2.525766534
Oahu,8,PLOB,5,2.525766534,2.525766534,2.525766534
Oahu,14,PLOB,20,2.525766534,2.525766534,2.525766534
Oahu,98,PLOB,50,2.525766534,2.525766534,2.525766534
Oahu,84,MCAP,100,2.525766534,2.525766534,2.525766534
Oahu,88,MCAP,100,2.525766534,2.525766534,2.525766534
Oahu,64,PLOB,50,2.525766534,2.525766534,2.525766534
Oahu,61,MCAP,100,2.525766534,2.525766534,2.525766534
Oahu,21,PLIC,50,2.525766534,2.525766534,2.525766534
Oahu,32,PMEA,100,2.525766534,2.525766534,2.525766534
Oahu,22,PMEA,90,2.525766534,2.525766534,2.525766534
Oahu,23,PLIC,90,2.525766534,2.525766534,2.525766534
Oahu,33,PMEA,70,2.525766534,2.525766534,2.525766534
Oahu,30,PMEA,90,2.525766534,2.525766534,2.525766534
