,Island,Bleached,Depth_ft,Taxon,SST
0,Hawaii,90.0,25.0,AGEM,2.66594338
1,Hawaii,90.0,40.0,PCOM,2.67698126
2,Hawaii,30.0,42.0,PLOB,2.660943409
3,Hawaii,0.0,35.0,PLOB,2.477962134
4,Hawaii,0.0,42.0,PCOM,2.4812579
5,Hawaii,2.0,16.0,PCOM,2.47889491
6,Hawaii,10.0,45.0,PLOB,2.63471715
7,Hawaii,50.0,42.0,PCOM,
8,Hawaii,30.0,42.0,PLOB,
9,Hawaii,80.0,32.0,PCOM,2.666981139
10,Hawaii,50.0,40.0,PCOM,2.651320799
11,Hawaii,10.0,34.0,PLOB,
12,Hawaii,40.0,37.0,PCOM,2.654528427
13,Hawaii,20.0,27.0,PLOB,
14,Hawaii,50.0,47.0,PCOM,2.66594338
15,Hawaii,40.0,40.0,PCOM,
16,Hawaii,80.0,46.0,PCOM,2.655849205
17,Hawaii,50.0,31.0,PCOM,2.664676522
18,Hawaii,5.0,8.0,PLOB,2.640838739
19,Hawaii,5.0,12.0,PLOB,2.663836473
20,Hawaii,50.0,28.0,PCOM,2.663836473
21,Hawaii,50.0,20.0,PCOM,2.663962058
22,Hawaii,2.0,11.0,PLOB,
23,Hawaii,5.0,16.0,PLOB,2.651635236
24,Hawaii,20.0,14.0,PLOB,2.64349069
25,Hawaii,5.0,10.0,PLOB,2.624339806
26,Hawaii,50.0,46.0,PLOB,2.62320765
1588,Hawaii,5.0,15.0,PLOB,2.660985355
1589,Hawaii,5.0,10.0,PLOB,2.660817632
1590,Hawaii,75.0,8.0,PLUT,2.664150958
1591,Hawaii,10.0,20.0,PLOB,2.665849146
1592,Hawaii,1.0,13.0,PLOB,2.630754903
1593,Hawaii,1.0,10.0,PLOB,2.639622814
1594,Hawaii,3.0,5.0,PLOB,
1595,Lanai,0.0,16.0,PLOB,2.686981165
1596,Lanai,0.0,67.0,PCOM,2.686981165
1597,Lanai,0.0,61.0,PCOM,2.663962238
1598,Lanai,5.0,38.0,PLOB,
1599,Lanai,15.0,28.0,MCAP,2.663962238
1600,Lanai,0.0,38.0,PCOM,2.657358529
1601,Lanai,3.0,47.0,PCOM,2.686981165
1602,Lanai,15.0,46.0,MCAP,2.657358529
1603,Lanai,80.0,15.0,MCAP,
1604,Lanai,85.0,4.0,MCAP,
1605,Lanai,50.0,21.0,MCAP,2.663962238
1606,Lanai,0.0,35.0,PCOM,2.663962238
1607,Lanai,85.0,15.0,PMEA,2.665849038
1608,Lanai,90.0,15.0,PMEA,2.700377338
1609,Lanai,0.0,32.0,PCOM,2.673056628
1610,Lanai,2.0,50.0,PCOM,2.700377338
1611,Maui,5.0,52.0,PCOM,2.633207357
1612,Maui,5.0,57.0,PLOB,2.661886863
1613,Maui,0.0,39.0,PLOB,2.659245281
1614,Maui,95.0,43.0,MCAP,2.601509346
1615,Maui,85.0,53.0,MCAP,2.659371054
1616,Maui,80.0,27.0,MCAP,
1617,Maui,10.0,18.0,PLOB,
1618,Maui,2.0,16.0,PLOB,2.654503125
1619,Maui,1.0,13.0,PLOB,2.65186791
1620,Maui,75.0,64.0,MCAP,2.634339423
1621,Maui,40.0,21.0,PLOB,2.655735826
1622,Maui,30.0,23.0,PCOM,2.676415066
1623,Maui,80.0,32.0,PLOB,2.676415066
1624,Maui,5.0,32.0,PCOM,2.655282996
1625,Maui,10.0,13.0,MFLA,2.585282992
1626,Maui,90.0,21.0,PMEA,2.585282992
1627,Maui,75.0,8.0,MCAP,2.589999984
1628,Maui,0.0,12.0,PLOB,2.608867825
1629,Maui,5.0,15.0,PLOB,2.617594341
1630,Maui,5.0,12.0,MPAT,2.619245277
1631,Maui,5.0,9.0,MPAT,2.654503125
1632,Maui,0.0,9.0,PLOB,2.632731582
1633,Maui,1.0,9.0,PLOB,2.632731582
1634,Maui,75.0,16.0,PMEA,2.653638732
1635,Maui,0.0,8.0,PLOB,2.632651917
1636,Maui,10.0,7.0,PLOB,
1637,Maui,10.0,14.0,PLOB,2.618805027
1638,Maui,5.0,10.0,PLOB,2.634905761
1639,Maui,90.0,11.0,MCAP,2.634905761
1640,Maui,10.0,11.0,PLOB,2.677358447
1641,Maui,70.0,11.0,MDIL,2.59198107
