,Island,Depth_ft,Taxon,SST,Wave_energy
0,Hawaii,25.0,AGEM,2.66594338,6126.400269
1,Hawaii,40.0,PCOM,2.67698126,21817.09961
2,Hawaii,42.0,PLOB,2.660943409,142.1999969
3,Hawaii,35.0,PLOB,2.477962134,72982.90313
4,Hawaii,42.0,PCOM,2.4812579,50498.25195
5,Hawaii,16.0,PCOM,2.47889491,31707.70117
6,Hawaii,45.0,PLOB,2.63471715,1092.100006
7,Hawaii,42.0,PCOM,,
8,Hawaii,42.0,PLOB,,
9,Hawaii,32.0,PCOM,2.666981139,73.40000153
10,Hawaii,40.0,PCOM,2.651320799,1318.5
11,Hawaii,34.0,PLOB,,
12,Hawaii,37.0,PCOM,2.654528427,113.1000015
13,Hawaii,27.0,PLOB,,
14,Hawaii,47.0,PCOM,2.66594338,6126.400269
15,Hawaii,40.0,PCOM,,
16,Hawaii,46.0,PCOM,2.655849205,113.9000015
17,Hawaii,31.0,PCOM,2.664676522,5401.799944
18,Hawaii,8.0,PLOB,2.640838739,672.3166606
19,Hawaii,12.0,PLOB,2.663836473,217.6000061
20,Hawaii,28.0,PCOM,2.663836473,217.6000061
21,Hawaii,20.0,PCOM,2.663962058,4976.550049
22,Hawaii,11.0,PLOB,,
23,Hawaii,16.0,PLOB,2.651635236,1216.566683
24,Hawaii,14.0,PLOB,2.64349069,40.5
25,Hawaii,10.0,PLOB,2.624339806,4448.325073
26,Hawaii,46.0,PLOB,2.62320765,7700.200195
27,Oahu,7.0,PLUT,2.537924569,100904.0
28,Oahu,10.0,PMEA,2.537924569,100904.0
29,Oahu,8.0,PLOB,2.537924569,100904.0
30,Oahu,7.0,PLUT,2.537924569,100904.0
31,Oahu,10.0,PMEA,2.537924569,100904.0
32,Oahu,8.0,PLOB,2.537924569,100904.0
33,Oahu,7.0,PLUT,2.537924569,100904.0
34,Oahu,10.0,PMEA,2.537924569,100904.0
35,Oahu,8.0,PLOB,2.537924569,100904.0
36,Oahu,7.0,PLUT,2.537924569,100904.0
37,Oahu,10.0,PMEA,2.537924569,100904.0
38,Oahu,8.0,PLOB,2.537924569,100904.0
39,Oahu,7.0,PLUT,2.537924569,100904.0
40,Oahu,10.0,PMEA,2.537924569,100904.0
41,Oahu,8.0,PLOB,2.537924569,100904.0
42,Oahu,7.0,PMEA,2.550188784,
43,Oahu,10.0,PMEA,2.550188784,
44,Oahu,7.0,PLOB,2.550188784,
45,Oahu,7.0,PMEA,2.550188784,
46,Oahu,10.0,PMEA,2.550188784,
